timestamp,ppg_value
0.0,0.12321274921264931
0.008,0.1724050733054636
0.016,0.17949536352328926
0.024,0.22269056267330306
0.032,0.3238294794181752
0.04,0.352515650660513
0.048,0.38836389763005946
0.056,0.4121429777566959
0.064,0.44496859248284737
0.072,0.47567849349609825
0.08,0.5601703808999919
0.088,0.6178590235716318
0.096,0.5543469791931165
0.104,0.6019845814203516
0.112,0.6209448089742916
0.12,0.6482728358492683
0.128,0.6432119565666795
0.136,0.7107859932196376
0.144,0.6317940420215256
0.152,0.6004602145467973
0.16,0.6296783097236156
0.168,0.6372556173317183
0.176,0.6705973138649984
0.184,0.5631721311959507
0.192,0.658062798152564
0.2,0.5822625932731552
0.208,0.6161800639004149
0.216,0.6143610336536063
0.224,0.537442807784559
0.232,0.5806621884321468
0.24,0.5193398216071464
0.248,0.544383421233555
0.256,0.48967321251090473
0.264,0.46744735510424784
0.272,0.4583928741877387
0.28,0.43341325265483055
0.288,0.38777920785013936
0.296,0.3796565807456022
0.304,0.35250513759305013
0.312,0.3911018103417765
0.32,0.39398631411641793
0.328,0.31570367064699684
0.336,0.33051487710885424
0.344,0.3064892827319782
0.352,0.2720418658790917
0.36,0.26126168491709495
0.368,0.3029508587904595
0.376,0.22071242891246073
0.384,0.2636806706331186
0.392,0.2718524800127299
0.4,0.1783815556638861
0.408,0.2127924857060449
0.416,0.26414510666609875
0.424,0.24546587118359428
0.432,0.17381875329620783
0.44,0.18463635219629984
0.448,0.18209977528143717
0.456,0.15360082544277046
0.464,0.1833805111537178
0.472,0.20854701410410956
0.48,0.12428118258370563
0.488,0.175017263246462
0.496,0.14660726251573364
0.504,0.08636067220276658
0.512,0.10701545870752781
0.52,0.07935098560738917
0.528,-0.0031426092285260637
0.536,-0.012841545453881345
0.544,-0.020333262380821563
0.552,-0.040399544935964815
0.56,-0.04451309886160423
0.568,-0.09270696848741822
0.576,-0.07730083149174233
0.584,-0.1724221080665724
0.592,-0.18830687934728169
0.6,-0.27042843469461886
0.608,-0.3030193538820247
0.616,-0.27885895662011934
0.624,-0.3734245536786721
0.632,-0.35925125181971407
0.64,-0.3238131708202172
0.648,-0.4353612317166333
0.656,-0.46748344816222753
0.664,-0.4845984217037231
0.672,-0.5684107397594841
0.68,-0.5583545706962514
0.688,-0.5699208561535123
0.696,-0.6060462192151203
0.704,-0.5984525662559645
0.712,-0.7246812259768797
0.72,-0.6425111211452792
0.728,-0.7317320427311519
0.736,-0.7105999095952029
0.744,-0.7349121019105419
0.752,-0.7205127827862217
0.76,-0.751238414359116
0.768,-0.713188224490094
0.776,-0.7181114416709424
0.784,-0.697727519856718
0.792,-0.7145899934956556
0.8,-0.6408056564969422
0.808,-0.6677411034980366
0.816,-0.5685931331173288
0.824,-0.6026266885196104
0.832,-0.5353606752668026
0.84,-0.5321626593290056
0.848,-0.4743531417187258
0.856,-0.4725479213820943
0.864,-0.40642371680904604
0.872,-0.3785436074198616
0.88,-0.29172066419550235
0.888,-0.2674689626432959
0.896,-0.2490417762786169
0.904,-0.15513749683213704
0.912,-0.09950410454410584
0.92,-0.04844841034676052
0.928,0.012413093188793092
0.936,0.08678700706102455
0.944,0.1429965374293561
0.952,0.1358835557654617
0.96,0.17866422554066647
0.968,0.281831937016168
0.976,0.38137467265635216
0.984,0.35364218520834434
0.992,0.4778736269628483
1.0,0.4602754100992196
1.008,0.4716530256289836
1.016,0.5582252017982938
1.024,0.5816142974409484
1.032,0.5983957995057066
1.04,0.6399693111508369
1.048,0.6454816819957028
1.056,0.6900118326563318
1.064,0.7131189114293995
1.072,0.6987187330248239
1.08,0.7293472368501066
1.088,0.7468283848771846
1.096,0.703135617979819
1.104,0.7265659292404111
1.112,0.7219570895753128
1.12,0.7535877821840448
1.128,0.7333192518216572
1.136,0.7189563019499272
1.144,0.7197632437727821
1.152,0.6718336115886366
1.16,0.6779336303854756
1.168,0.6713627035666171
1.176,0.6545470631963785
1.184,0.6944632291276235
1.192,0.5783391934100455
1.2,0.5832525216062563
1.208,0.556150721851521
1.216,0.5527299662863788
1.224,0.5564354860092618
1.232,0.4951964085758925
1.24,0.5284236115448543
1.248,0.39579535995401255
1.256,0.4196534860870502
1.264,0.39863600770906843
1.272,0.429447725306013
1.28,0.3923206241965816
1.288,0.40249529508120563
1.296,0.34638462699048256
1.304,0.3432092850864921
1.312,0.31815247333352425
1.32,0.33085849477115725
1.328,0.3367888553236607
1.336,0.3354818818146519
1.344,0.2989015712273108
1.352,0.2668003137946339
1.36,0.22167749249853858
1.368,0.2512541276027129
1.376,0.2615200412520672
1.384,0.2859193604482355
1.392,0.2706772127976406
1.4,0.17285122168041395
1.408,0.1730730442564529
1.416,0.13739946019740457
1.424,0.19551629617998736
1.432,0.21146162416222172
1.44,0.15424892312078822
1.448,0.1773335747741742
1.456,0.11504525619790587
1.464,0.16921324492237588
1.472,0.11285580611104487
1.48,0.08210837153864081
1.488,0.014589045398534908
1.496,0.014981151912486026
1.504,-0.0032099666607820643
1.512,-0.07513943459868194
1.52,-0.08143055121621395
1.528,-0.10561847559091057
1.536,-0.10440501260486289
1.544,-0.17879347562874381
1.552,-0.23203791951200536
1.56,-0.23230685512820048
1.568,-0.23710854206596665
1.576,-0.2972532016610017
1.584,-0.3548782102259024
1.592,-0.39164132647662886
1.6,-0.3891374885731612
1.608,-0.44955485282747226
1.616,-0.4965041361751884
1.624,-0.527146137646497
1.632,-0.4912229880673459
1.64,-0.5844797069755364
1.648,-0.6245616729867598
1.656,-0.6583564641111304
1.664,-0.6275231649511098
1.672,-0.7002821838105282
1.68,-0.71072552743499
1.688,-0.6421610789658788
1.696,-0.7064298490216261
1.704,-0.7244965229938732
1.712,-0.7118301340609728
1.72,-0.7275262821139532
1.728,-0.7063930442958672
1.736,-0.6693497565242632
1.744,-0.7035582935127785
1.752,-0.6236416245654942
1.76,-0.6266650578164547
1.768,-0.6330020650382463
1.776,-0.5720586657495429
1.784,-0.6006720625470907
1.792,-0.5538848529613771
1.8,-0.5104918202203297
1.808,-0.4783442805988141
1.816,-0.45285088067428786
1.824,-0.3991046936416086
1.832,-0.3403023556966671
1.84,-0.22931939995457262
1.848,-0.24119170885007027
1.856,-0.19503715300512212
1.864,-0.1890513346861055
1.872,-0.014779601602916699
1.88,0.0442804249095028
1.888,0.03460955854233951
1.896,0.10610718251158044
1.904,0.15762518592003666
1.912,0.23616762847277228
1.92,0.21378548222636523
1.928,0.3567334972920372
1.936,0.3352212686479185
1.944,0.37918809826604566
1.952,0.4410660314843512
1.96,0.4378955584569508
1.968,0.4769615593532367
1.976,0.5254520093562169
1.984,0.5500332860341098
1.992,0.6119718917150848
2.0,0.568297448094637
2.008,0.686089553796773
2.016,0.6500016470559168
2.024,0.7055887975491572
2.032,0.6910443952126709
2.04,0.6740898563553784
2.048,0.6946528117562993
2.056,0.6870929999424409
2.064,0.7002948298149317
2.072,0.698319481414759
2.08,0.6939715242120085
2.088,0.6725800341111874
2.096,0.6874039849242238
2.104,0.6472493577118235
2.112,0.5731724657343502
2.12,0.6458855572225767
2.128,0.5949935245461452
2.136,0.5559032645574689
2.144,0.5563262907623167
2.152,0.517919593972226
2.16,0.5531491892967215
2.168,0.5035965967184765
2.176,0.4485053801690217
2.184,0.4227825674933137
2.192,0.42376910612483026
2.2,0.4068182060359386
2.208,0.4012329122298635
2.216,0.3753926447777875
2.224,0.35492525657294693
2.232,0.3415570763903028
2.24,0.24640610549404646
2.248,0.3150394250541343
2.256,0.30401439838079014
2.264,0.3044467170170775
2.272,0.27897137234647845
2.28,0.22514542302344337
2.288,0.19837494580928183
2.296,0.2359116253316144
2.304,0.2172180107385028
2.312,0.20126247963168178
2.32,0.17954266319313644
2.328,0.20102342895318137
2.336,0.1686893370897414
2.344,0.14097010550524786
2.352,0.0990408524044733
2.36,0.14965699522648768
2.368,0.166014514331986
2.376,0.11320332484465553
2.384,0.1347822052131326
2.392,0.10601488467493408
2.4,0.1178728177217046
2.408,0.03719447946806997
2.416,0.004405306469370908
2.424,0.05451505840067201
2.432,0.06746568045703248
2.44,-0.09152418990434522
2.448,-0.09838875362092216
2.456,-0.0703110549621733
2.464,-0.09722360908053217
2.472,-0.12798301840334478
2.48,-0.16054058851989883
2.488,-0.22380417841311995
2.496,-0.26890273371961426
2.504,-0.24035351371672004
2.512,-0.3254948727428148
2.52,-0.3462905556121666
2.528,-0.314956521582744
2.536,-0.4072288395469899
2.544,-0.46199606715510433
2.552,-0.5182376295313237
2.56,-0.4933047090019487
2.568,-0.5452867104740439
2.576,-0.6006135129046223
2.584,-0.7044737377014288
2.592,-0.650153307876948
2.6,-0.6349814528582414
2.608,-0.6777716762289683
2.616,-0.6764543955027627
2.624,-0.7613016872129152
2.632,-0.7443162854335731
2.64,-0.7505064706319909
2.648,-0.8414241570846579
2.656,-0.8382591114654198
